
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100

//Trader 0
<Trader> Consume Trader								// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Vegetables							// Category Name
		CaninaBerry,			*,		1,		-1	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,			*,		1,		-1	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,					*,		1,		-1	// Buyvalue -1 means it can not be bought
		Kiwi,					*,		1,		-1	// Sellvalue -1 means it can not be selled
		WomanSuit_Beige,		*,		18,		4
		WomanSuit_Brown,		*,		18,		4
		WomanSuit_Black,		*,		18,		4
		WomanSuit_Khaki,		*,		18,		4
		WoolCoat_Red,			*,		18,		4
		WoolCoat_RedCheck,		*,		18,		4
		WoolCoat_Blue,			*,		18,		4
		WoolCoat_BlueCheck,		*,		18,		4
		WoolCoat_GreyCheck,		*,		18,		4
		WoolCoat_BrownCheck,	*,		18,		4
		WoolCoat_Beige,			*,		18,		4
		WoolCoat_Black,			*,		19,		4
		WoolCoat_BlackCheck,	*,		19,		4
		WoolCoat_Green,			*,		20,		5
		RidersJacket_Black,		*,		20,		5
		FirefighterJacket_Beige,*,		24,		6
		FirefighterJacket_Black,*,		24,		6
		JumpsuitJacket_Red,		*,		26,		6
		JumpsuitJacket_Blue,	*,		26,		6
		JumpsuitJacket_Gray,	*,		26,		6
		JumpsuitJacket_Green,	*,		26,		6
		BomberJacket_Maroon,	*,		26,		6
		BomberJacket_SkyBlue,	*,		26,		6
		BomberJacket_Blue,		*,		26,		6
		BomberJacket_Grey,		*,		26,		6
		BomberJacket_Brown,		*,		26,		6
		BomberJacket_Black,		*,		28,		7
		BomberJacket_Olive,		*,		30,		7
		QuiltedJacket_Orange,	*,		26,		6
		QuiltedJacket_Yellow,	*,		26,		6
		QuiltedJacket_Red,		*,		26,		6
		QuiltedJacket_Violet,	*,		26,		6
		QuiltedJacket_Blue,		*,		26,		6
		QuiltedJacket_Grey,		*,		26,		6
		QuiltedJacket_Black,	*,		28,		7
		QuiltedJacket_Green,	*,		30,		7
		PrisonUniformJacket,	*,		28,		7
		PoliceJacketOrel,		*,		32,		8
		PoliceJacket,			*,		34,		8
		ParamedicJacket_Crimson,*,		36,		9
		ParamedicJacket_Blue,	*,		36,		9
		ParamedicJacket_Green,	*,		36,		9
		HikingJacket_Red,		*,		36,		9
		HikingJacket_Blue,		*,		38,		9
		HikingJacket_Black,		*,		38,		9
		HikingJacket_Green,		*,		40,		10
		Raincoat_Pink,			*,		70,		15
		Raincoat_Orange,		*,		70,		15
		Raincoat_Yellow,		*,		70,		15
		Raincoat_Red,			*,		70,		15
		Raincoat_Blue,			*,		70,		15
		Raincoat_Black,			*,		80,		20
		Raincoat_Green,			*,		100,	25
		TTsKOJacket_Camo,		*,		100,	25
		BDUJacket,				*,		100,	25
		HuntingJacket_Winter,	*,		120,	35
		HuntingJacket_Brown,	*,		120,	35
		HuntingJacket_Autumn,	*,		120,	35
		HuntingJacket_Spring,	*,		120,	35
		HuntingJacket_Summer,	*,		120,	35
		M65Jacket_Tan,			*,		130,	40
		M65Jacket_Black,		*,		130,	40
		M65Jacket_Khaki,		*,		130,	40
		M65Jacket_Olive,		*,		130,	40
		GorkaEJacket_Autumn,	*,		140,	45
		GorkaEJacket_Flat,		*,		140,	45
		GorkaEJacket_PautRev,	*,		140,	45
		GorkaEJacket_Summer,	*,		140,	45
		USMCJacket_Desert,		*,		140,	45
		USMCJacket_Woodland,	*,		155,	55
		NBCJacketGray,			*,		250,	80

	<Category> Skirts & Dresses
		Skirt_Yellow,			*,		30,		10
		Skirt_Red,				*,		30,		10
		Skirt_Blue,				*,		30,		10
		Skirt_White,			*,		30,		10
		MiniDress_Pink,			*,		35,		10
		MiniDress_PinkChecker,	*,		35,		10
		MiniDress_RedChecker,	*,		35,		10
		MiniDress_BlueChecker,	*,		35,		10
		MiniDress_BlueWithDots,	*,		35,		10
		MiniDress_WhiteChecker,	*,		35,		10
		MiniDress_BrownChecker,	*,		35,		10
		MiniDress_GreenChecker,	*,		35,		10
		NurseDress_Blue,		*,		40,		10
		NurseDress_White,		*,		40,		10

	<Category> Pants
		MedicalScrubsPants_Blue,*,		10,		2
		MedicalScrubsPants_White,*,		10,		2
		MedicalScrubsPants_Green,*,		10,		2
		TrackSuitPants_Red,		*,		15,		3
		TrackSuitPants_LightBlue,*,		15,		3
		TrackSuitPants_Blue,	*,		15,		3
		TrackSuitPants_Black,	*,		15,		3
		TrackSuitPants_Green,	*,		15,		3
		PrisonUniformPants,		*,		17,		4
		Breeches_Pink,			*,		20,		5
		Breeches_Red,			*,		20,		5
		Breeches_Blue,			*,		20,		5
		Breeches_White,			*,		20,		5
		Breeches_Beetcheck,		*,		20,		5
		Breeches_Beige,			*,		21,		5
		Breeches_Browncheck,	*,		21,		5
		Breeches_Black,			*,		22,		5
		Breeches_Blackcheck,	*,		22,		5
		Breeches_Green,			*,		24,		6
		SlacksPants_Blue,		*,		20,		5
		SlacksPants_White,		*,		20,		5
		SlacksPants_LightGrey,	*,		20,		5
		SlacksPants_DarkGrey,	*,		20,		5
		SlacksPants_Beige,		*,		20,		5
		SlacksPants_Brown,		*,		21,		5
		SlacksPants_Black,		*,		22,		5
		SlacksPants_Khaki,		*,		24,		6
		CanvasPantsMidi_Red,	*,		24,		6
		CanvasPantsMidi_Violet,	*,		24,		6
		CanvasPantsMidi_Blue,	*,		24,		6
		CanvasPantsMidi_Grey,	*,		24,		6
		CanvasPantsMidi_Beige,	*,		25,		6	
		CanvasPants_Red,		*,		26,		6
		CanvasPants_Violet,		*,		26,		6
		CanvasPants_Blue,		*,		26,		6
		CanvasPants_Grey,		*,		26,		6
		CanvasPants_Beige,		*,		28,		6
		JumpsuitPants_Red,		*,		28,		6
		JumpsuitPants_Blue,		*,		28,		6
		JumpsuitPants_Grey,		*,		28,		6
		JumpsuitPants_Green,	*,		28,		6
		PolicePants,			*,		28,		6
		ParamedicPants_Crimson,	*,		35,		8
		ParamedicPants_Blue,	*,		35,		8
		ParamedicPants_Green,	*,		35,		8
		FirefightersPants_Beige,*,		35,		8
		FirefightersPants_Black,*,		35,		8
		CargoPants_Blue,		*,		35,		8
		CargoPants_Grey,		*,		35,		8
		CargoPants_Beige,		*,		35,		8
		CargoPants_Black,		*,		35,		8
		CargoPants_Green,		*,		35,		8
		ShortJeans_Red,			*,		38,		8
		ShortJeans_Blue,		*,		38,		8
		ShortJeans_Darkblue,	*,		38,		8
		ShortJeans_Brown,		*,		38,		8
		ShortJeans_Black,		*,		40,		10
		ShortJeans_Green,		*,		42,		10
		Jeans_Blue,				*,		40,		10
		Jeans_BlueDark,			*,		40,		10
		Jeans_Grey,				*,		40,		10
		Jeans_Brown,			*,		40,		10
		Jeans_Black,			*,		42,		10
		Jeans_Green,			*,		45,		12	
		TTSKOPants,				*,		55,		15
		BDUPants,				*,		65,		18
		USMCPants_Desert,		*,		65,		18
		USMCPants_Woodland,		*,		70,		20
		PolicePantsOrel,		*,		70,		20
		HunterPants_Winter,		*,		90,		25
		HunterPants_Brown,		*,		100,	30
		HunterPants_Spring,		*,		100,	30
		HunterPants_Autumn,		*,		100,	30
		HunterPants_Summer,		*,		100,	30
		GorkaPants_Flat,		*,		130,	40
		GorkaPants_PautRev,		*,		130,	40
		GorkaPants_Autumn,		*,		130,	40
		GorkaPants_Summer,		*,		130,	40
		NBCPantsGray,			*,		200,	65
	
	<Category> Shoes & Boots
		AthleticShoes_Blue,		*,		17,		4
		AthleticShoes_Grey,		*,		20,		5
		AthleticShoes_Brown,	*,		20,		5
		AthleticShoes_Black,	*,		23,		5
		AthleticShoes_Green,	*,		23,		5
		JoggingShoes_Violet,	*,		30,		7
		JoggingShoes_Red,		*,		30,		7
		JoggingShoes_Blue,		*,		30,		7
		JoggingShoes_White,		*,		30,		7
		JoggingShoes_Black,		*,		30,		7
		Sneakers_Red,			*,		30,		7
		Sneakers_White,			*,		30,		7
		Sneakers_Gray,			*,		30,		7
		Sneakers_Black,			*,		31,		7
		Sneakers_Green,			*,		32,		7
		DressShoes_White,		*,		32,		7
		DressShoes_Brown,		*,		35,		8
		DressShoes_Black,		*,		35,		8
		DressShoes_Beige,		*,		35,		8
		DressShoes_Sunburst,	*,		35,		8
		HikingBootsLow_Blue,	*,		45,		12
		HikingBootsLow_Grey,	*,		45,		12
		HikingBootsLow_Beige,	*,		48,		13
		HikingBootsLow_Black,	*,		50,		14
		WorkingBoots_Yellow,	*,		55,		12
		WorkingBoots_Grey,		*,		60,		15
		WorkingBoots_Beige,		*,		60,		15
		WorkingBoots_Brown,		*,		60,		15
		WorkingBoots_Green,		*,		65,		17
		HikingBoots_Brown,		*,		75,		20
		HikingBoots_Black,		*,		75,		20
		CombatBoots_Grey,		*,		80,		22
		CombatBoots_Beige,		*,		80,		22
		CombatBoots_Brown,		*,		80,		22
		CombatBoots_Black,		*,		80,		22
		CombatBoots_Green,		*,		80,		22
		JungleBoots_Beige,		*,		85,		24
		JungleBoots_Brown,		*,		85,		24
		JungleBoots_Black,		*,		85,		24
		JungleBoots_Olive,		*,		85,		24
		JungleBoots_Green,		*,		85,		24
		Wellies_Grey,			*,		85,		25
		Wellies_Brown,			*,		85,		25
		Wellies_Black,			*,		85,		25
		Wellies_Green,			*,		90,		28
		TTSKOBoots,				*,		100,	35
		MilitaryBoots_Redpunk,	*,		100,	35
		MilitaryBoots_Bluerock,	*,		105,	35
		MilitaryBoots_Beige,	*,		110,	35
		MilitaryBoots_Brown,	*,		110,	35
		MilitaryBoots_Black,	*,		110,	35
		NBCBootsGray,			*,		150,	50

	<Category> Ghillie
		// Keep in Mind that Players can also 
		// craft Ghillie Clothing and sell them!
		GhillieAtt_Mossy,		*,		220,	70
		GhillieAtt_Tan,			*,		220,	70
		GhillieAtt_Woodland,	*,		220,	70
		GhillieHood_Mossy,		*,		220,	70
		GhillieHood_Tan,		*,		220,	70
		GhillieHood_Woodland,	*,		220,	70
		GhillieBushrag_Mossy,	*,		400,	130
		GhillieBushrag_Tan,		*,		400,	130
		GhillieBushrag_Woodland,*,		400,	130
		GhillieTop_Mossy,		*,		600,	200
		GhillieTop_Tan,			*,		600,	200
		GhillieTop_Woodland,	*,		600,	200
		GhillieSuit_Mossy,		*,		1000,	300
		GhillieSuit_Tan,		*,		1000,	300
		GhillieSuit_Woodland,	*,		1000,	300
		
	//<Category> Seasonal
		//SantasBeard,			*,		15,		0
		//SantasHat,			*,		35,		0
		//PumpkinHelmet,		*,		50,		0

	<Category> Holster & Pouches
		ChestHolster,			*,		60,		20
		PlateCarrierHolster,	*,		60,		20
		PlateCarrierPouches,	*,		100,		20
		
	<Category> Belt
		CivilianBelt,			*,		100,	30
		MilitaryBelt,			*,		100,	30
		
	<Category> Bags
		ChildBag_Red,			*,		20,		5
		ChildBag_Blue,			*,		20,		5
		ChildBag_Green,			*,		25,		6
		DryBag_Yellow,			*,		30,		8
		DryBag_Orange,			*,		30,		8
		DryBag_Red,				*,		30,		8
		DryBag_Blue,			*,		30,		8
		DryBag_Black,			*,		35,		8
		DryBag_Green,			*,		40,		10
		TaloonBag_Orange,		*,		50,		10
		TaloonBag_Violet,		*,		50,		10
		TaloonBag_Blue,			*,		50,		10
		TaloonBag_Green,		*,		70,		20
		SmershBag,				*,		100,	30
		WaterproofBag_Yellow,	*,		100,	30
		WaterproofBag_Orange,	*,		100,	30
		WaterproofBag_Green,	*,		110,	30
		AssaultBag_Black,		*,		110,	30
		AssaultBag_Green,		*,		110,	30
		AssaultBag_Ttsko,		*,		130,	30
		HuntingBag,				*,		130,	30
		TortillaBag,			*,		180,	60
		CoyoteBag_Brown,		*,		180,	60
		CoyoteBag_Green,		*,		180,	60
		MountainBag_Orange,		*,		300,	80
		MountainBag_Red,		*,		300,	80
		MountainBag_Blue,		*,		300,	80
		MountainBag_Green,		*,		360,	100
		AliceBag_Black,			*,		400,	150
		AliceBag_Green,			*,		400,	150
		AliceBag_Camo,			*,		500,	220

	//<Category> Handmade
		//LeatherGloves_Beige,	*,		0,		0
		//LeatherGloves_Black,	*,		0,		0
		//LeatherGloves_Brown,	*,		0,		0
		//LeatherGloves_Natural,*,		0,		0
		//LeatherHat_Beige,		*,		0,		0
		//LeatherHat_Black,		*,		0,		0
		//LeatherHat_Brown,		*,		0,		0
		//LeatherHat_Natural,	*,		0,		0
		//LeatherShirt_Natural,	*,		0,		0
		//LeatherStorageVest_Beige,*,	0,		0
		//LeatherStorageVest_Black,*,	0,		0
		//LeatherStorageVest_Brown,*,	0,		0
		//LeatherStorageVest_Natural,*,	0,		0
		//LeatherJacket_Beige,	*,		0,		0
		//LeatherJacket_Black,	*,		0,		0
		//LeatherJacket_Brown,	*,		0,		0
		//LeatherJacket_Natural,*,		0,		0
		//LeatherPants_Beige,	*,		0,		0
		//LeatherPants_Black,	*,		0,		0
		//LeatherPants_Brown,	*,		0,		0
		//LeatherPants_Natural,	*,		0,		0
		//LeatherShoes_Beige,	*,		0,		0
		//LeatherShoes_Black,	*,		0,		0
		//LeatherShoes_Brown,	*,		0,		0
		//LeatherShoes_Natural,	*,		0,		0
		//CourierBag,			*,		0,		0
		//FurCourierBag,		*,		0,		0
		//FurImprovisedBag,		*,		0,		0
		//ImprovisedBag,		*,		0,		0
		//LeatherSack_Beige,	*,		0,		0
		//LeatherSack_Black,	*,		0,		0
		//LeatherSack_Brown,	*,		0,		0
		//LeatherSack_Natural,	*,		0,		0
		
		
//THIS CATEGORY CAN BE ADD IN THE TRADER CONFIG IN THE TRADER OF YOUR CHOICE:


    <Category> ToxicZoneNBC
        ToxicZoneGP5GasMask_black,	*,		3000,		500	
		ToxicZoneGP5GasMask_green,	*,		3000,		500	
		ToxicZoneSuits_Hood_black,	*,		1500,		200
		ToxicZoneSuits_Hood_green,	*,		1500,		200	
		ToxicZoneSuits_Hood_yellow,	*,		1500,		200	
		ToxicZoneSuits_Gloves_black,	*,		1500,		200
		ToxicZoneSuits_Gloves_green,	*,		1500,		200	
		ToxicZoneSuits_Gloves_yellow,   *,		1500,		200	
		ToxicZoneSuits_Jacket_yellow,   *,		2000,		300
		ToxicZoneSuits_Jacket_green,   *,		2000,		300	
		ToxicZoneSuits_Jacket_black,	*,		2000,		300	
		ToxicZoneSuits_Pants_yellow,	*,		2000,		300
		ToxicZoneSuits_Pants_green,	*,		2000,		300	
		ToxicZoneSuits_Pants_black,	*,		2000,		300	
		ToxicZoneSuits_Boots_yellow,	*,		2000,		300
		ToxicZoneSuits_Boots_green,	*,		2000,		300
		ToxicZoneSuits_Boots_black,	*,		2000,		300
		GP5GasMask_Filter,		*,		 500,           150	

	<Category> SQUAD MSF-C A-TACS AU
		MSFC_JPC_Vest_ATACSAU,	*,		100,		65
		MSFC_TAC_TEC_Vest_ATACSAU,	*,		100,		65
		MSFC_TacticalCap_ATACSAU,	*,		100,		65
		MSFC_WarBelt_ATACSAU,	*,		100,		65
		MSFCEmpty_Mags_Bag_ATACSAU,	*,		100,		65
		MSFC_IFAK_ATACSAU,	*,		100,		65
		MSFC_Defender_Vest_ATACSAU,	*,		100,		65
		MSFCM65ATACSAU,	*,		100,		65
		MSFCPantsATACSAU,	*,		100,		65
		MSFCPCU5ATACSAUComander,	*,		100,		65
		MSFCPCU5ATACSAUMedic,	*,		100,		65
		MSFCPCU5ATACSAUReconnaissance,	*,		100,		65
		MSFCPCU5ATACSAUSniper,	*,		100,		65
		MSFCPCU5ATACSAUSapper,	*,		100,		65
		MSFCPCU5ATACSAUMachineGun,	*,		100,		65
		MSFCPCU5ATACSAUEngineer,	*,		100,		65
		MSFCPCU5ATACSAUTrooper,	*,		100,		65
		MSFCCapATACSAU,	*,		100,		65
		MSFCGorkaJATACSAU,	*,		100,		65
		MSFCGorkaPATACSAU,	*,		100,		65
		MSFCGlovesATACSAU,	*,		100,		65
		MSFCBootsATACSAU,	*,		100,		65
		MSFCUKVestATACSAU,	*,		100,		65
		MSFCTShirtATACSAU,	*,		100,		65
		MSFCTacVestATACSAU,	*,		100,		65
		MSFCTacVestATACSAULogo,	*,		100,		65
		MSFCTacVestATACSAUMedic,	*,		100,		65
		MSFCBeanieHatATACSAU,	*,		100,		65
		MSFCBoonieHatATACSAU,	*,		100,		65
		MSFCCoyoteBagATACSAU,	*,		100,		65
		MSFCATACSAUMask,	*,		100,		65
		MSFCMich2001ATACSAU,	*,		100,		65
		MSFCAssaultBagATACSAU,	*,		100,		65
		MSFCAssaultBagATACSAUMedic,	*,		100,		65
		MSFCHoodATACSAU,	*,		100,		65
		MSFCBandanaATACSAU,	*,		100,		65
		MSFCBandanaATACSAUMask,	*,		100,		65
		MSFCPlateCarrierVestATACSAU,	*,		100,		65
		MSFCPlateCarrierVestATACSAULogo,	*,		100,		65
		MSFCTortilaATACSAU,	*,		100,		65
		MSFCAliceBagATACSAU,	*,		100,		65
		MSFCNBCPantsATACSAU,	*,		100,		65
		MSFCNBCJacketATACSAU,	*,		100,		65
		MSFCNBCGlovesATACSAU,	*,		100,		65
		MSFCNBCBootsATACSAU,	*,		100,		65
		MSFCPlateCarrierVestATACSAUMedic,	*,		100,		65
		MSFCMountainBagATACSAU,	*,		2500,		200
		MSFCPlateHolsterATACSAU,	*,		100,		65
		MSFCPlatePouchesATACSAU,	*,		100,		65
		MSFCPCU5ATACSAUSupply,	*,		100,		65
		MSFCGorkaHelmetATACSAU,	*,		100,		65
		MSFCMich2000HelmetATACSAU,	*,		100,		65
		MSFCSweaterATACSAU,	*,		100,		65
		MSFCPressVestATACSAU,	*,		100,		65
		MSFCPCU5ATACSAUPartComander,	*,		100,		65
		MSFCSmershVestATACSAU,	*,		100,		65
		MSFCSmershBagATACSAU,	*,		100,		65
		MSFCOpsCoreATACSAU,	*,		100,		65
		MSFCTacticalMaskATACSAU,	*,		100,		65
		MSFCSmershBagMedicATACSAU,	*,		100,		65	
		MSFCPCU5ATACSAUNoPatch,	*,		100,		65	
        MSFCGorkaJATACSAUNoPatch,	*,		100,		65	
		MSFCBootsLowaATACSAU,	*,		100,		65	
        MSFCBootsTrekkingATACSAU,	*,		100,		65
        MSFCBackpackPegasusATACSAU,	*,		100,		65
        MSFCBackpackCargoATACSAU,	*,		100,		65
        MSFCPouchCargoATACSAU,	*,		100,		65
        MSFCPouchIFAKATACSAU,	*,		100,		65	
		MSFC_FaceMack_ATACSAU,	*,		100,		65
        MSFC_TacticalBelt_ATACSAU,	*,		100,		65
		MSFCLowaZephyrBootsATACSAU,	*,		100,		65
		MSFC_TacticalBeltMedium_ATACSAU,	*,		100,		65
        MSFC_TacticalBeltSmall_ATACSAU,	*,		100,		65
		MSFC_TacticalBeltLite_ATACSAU,	*,		100,		65
		MSFC_BIG_BACKPACK_ATACSAU,	*,		100,		65
        MSFC_SMALL_BACKPACK_ATACSAU,	*,		100,		65
		MSFC_BottlePouch_ATACSAU,	*,		100,		65
        MSFC_G3Pants_ATACSAU,	*,		100,		65

     <Category> SQUAD MSF-C A-TACS FG
		MSFC_JPC_Vest_ATACSFG,	*,		100,		65
		MSFC_TAC_TEC_Vest_ATACSFG,	*,		100,		65
		MSFC_TacticalCap_ATACSFG,	*,		100,		65
		MSFC_WarBelt_ATACSFG,	*,		100,		65
		MSFCEmpty_Mags_Bag_ATACSFG,	*,		100,		65
		MSFC_IFAK_ATACSFG,	*,		100,		65
		MSFC_Defender_Vest_ATACSFG,	*,		100,		65
		MSFCM65ATACSFG,	*,		100,		65
		MSFCPantsATACSFG,	*,		100,		65
		MSFCPCU5ATACSFGComander,	*,		100,		65
		MSFCPCU5ATACSFGMedic,	*,		100,		65
		MSFCPCU5ATACSFGReconnaissance,	*,		100,		65
		MSFCPCU5ATACSFGSniper,	*,		100,		65
		MSFCPCU5ATACSFGSapper,	*,		100,		65
		MSFCPCU5ATACSFGMachineGun,	*,		100,		65
		MSFCPCU5ATACSFGEngineer,	*,		100,		65
		MSFCPCU5ATACSFGTrooper,	*,		100,		65
		MSFCCapATACSFG,	*,		100,		65
		MSFCGorkaJATACSFG,	*,		100,		65
		MSFCGorkaPATACSFG,	*,		100,		65
		MSFCGlovesATACSFG,	*,		100,		65
		MSFCBootsATACSFG,	*,		100,		65
		MSFCUKVestATACSFG,	*,		100,		65
		MSFCTShirtATACSFG,	*,		100,		65
		MSFCTacVestATACSFG,	*,		100,		65
		MSFCTacVestATACSFGLogo,	*,		100,		65
		MSFCTacVestATACSFGMedic,	*,		100,		65
		MSFCBeanieHatATACSFG,	*,		100,		65
		MSFCBoonieHatATACSFG,	*,		100,		65
		MSFCCoyoteBagATACSFG,	*,		100,		65
		MSFCATACSFGMask,	*,		100,		65
		MSFCMich2001ATACSFG,	*,		100,		65
		MSFCAssaultBagATACSFG,	*,		100,		65
		MSFCAssaultBagATACSFGMedic,	*,		100,		65
		MSFCHoodATACSFG,	*,		100,		65
		MSFCBandanaATACSFG,	*,		100,		65
		MSFCBandanaATACSFGMask,	*,		100,		65
		MSFCPlateCarrierVestATACSFG,	*,		100,		65
		MSFCPlateCarrierVestATACSFGLogo,	*,		100,		65
		MSFCTortilaATACSFG,	*,		100,		65
		MSFCAliceBagATACSFG,	*,		100,		65
		MSFCNBCPantsATACSFG,	*,		100,		65
		MSFCNBCJacketATACSFG,	*,		100,		65
		MSFCNBCGlovesATACSFG,	*,		100,		65
		MSFCNBCBootsATACSFG,	*,		100,		65
		MSFCPlateCarrierVestATACSFGMedic,	*,		100,		65
		MSFCMountainBagATACSFG,	*,		2500,		200
		MSFCPlateHolsterATACSFG,	*,		100,		65
		MSFCPlatePouchesATACSFG,	*,		100,		65
		MSFCPCU5ATACSFGSupply,	*,		100,		65
		MSFCGorkaHelmetATACSFG,	*,		100,		65
		MSFCMich2000HelmetATACSFG,	*,		100,		65
		MSFCSweaterATACSFG,	*,		100,		65
		MSFCPressVestATACSFG,	*,		100,		65
		MSFCPCU5ATACSFGPartComander,	*,		100,		65
		MSFCSmershVestATACSFG,	*,		100,		65
		MSFCSmershBagATACSFG,	*,		100,		65
		MSFCOpsCoreATACSFG,	*,		100,		65
		MSFCTacticalMaskATACSFG,	*,		100,		65
		MSFCSmershBagMedicATACSFG,	*,		100,		65
		MSFCPCU5ATACSFGNoPatch,	*,		100,		65
        MSFCGorkaJATACSFGNoPatch,	*,		100,		65
		MSFCBootsLowaATACSFG,	*,		100,		65
        MSFCBootsTrekkingATACSFG,	*,		100,		65
        MSFCBackpackPegasusATACSFG,	*,		100,		65
        MSFCBackpackCargoATACSFG,	*,		100,		65
        MSFCPouchCargoATACSFG,	*,		100,		65
        MSFCPouchIFAKATACSFG,	*,		100,		65
		MSFC_FaceMack_ATACSFG,	*,		100,		65
        MSFC_TacticalBelt_ATACSFG,	*,		100,		65
		MSFCLowaZephyrBootsATACSFG,	*,		100,		65
		MSFC_TacticalBeltMedium_ATACSFG,	*,		100,		65
        MSFC_TacticalBeltSmall_ATACSFG,	*,		100,		65
		MSFC_TacticalBeltLite_ATACSFG,	*,		100,		65
		MSFC_BIG_BACKPACK_ATACSFG,	*,		100,		65
        MSFC_SMALL_BACKPACK_ATACSFG,	*,		100,		65
		MSFC_BottlePouch_ATACSFG,	*,		100,		65
        MSFC_G3Pants_ATACSFG,	*,		100,		65		

     <Category> SQUAD MSF-C Multicam Black
		MSFC_JPC_Vest_MulticamBlack,	*,		100,		65
		MSFC_TAC_TEC_Vest_MulticamBlack,	*,		100,		65
		MSFC_TacticalCap_MulticamBlack,	*,		100,		65
		MSFC_WarBelt_MulticamBlack,	*,		100,		65
		MSFCEmpty_Mags_Bag_MulticamBlack,	*,		100,		65
		MSFC_IFAK_MulticamBlack,	*,		100,		65
		MSFC_Defender_Vest_MulticamBlack,	*,		100,		65
		MSFCM65MulticamBlack,	*,		100,		65
		MSFCPantsMulticamBlack,	*,		100,		65
		MSFCPCU5MulticamBlackComander,	*,		100,		65
		MSFCPCU5MulticamBlackMedic,	*,		100,		65
		MSFCPCU5MulticamBlackReconnaissance,	*,		100,		65
		MSFCPCU5MulticamBlackSniper,	*,		100,		65
		MSFCPCU5MulticamBlackSapper,	*,		100,		65
		MSFCPCU5MulticamBlackMachineGun,	*,		100,		65
		MSFCPCU5MulticamBlackEngineer,	*,		100,		65
		MSFCPCU5MulticamBlackTrooper,	*,		100,		65
		MSFCCapMulticamBlack,	*,		100,		65
		MSFCGorkaJMulticamBlack,	*,		100,		65
		MSFCGorkaPMulticamBlack,	*,		100,		65
		MSFCGlovesMulticamBlack,	*,		100,		65
		MSFCBootsMulticamBlack,	*,		100,		65
		MSFCUKVestMulticamBlack,	*,		100,		65
		MSFCTShirtMulticamBlack,	*,		100,		65
		MSFCTacVestMulticamBlack,	*,		100,		65
		MSFCTacVestMulticamBlackLogo,	*,		100,		65
		MSFCTacVestMulticamBlackMedic,	*,		100,		65
		MSFCBeanieHatMulticamBlack,	*,		100,		65
		MSFCBoonieHatMulticamBlack,	*,		100,		65
		MSFCCoyoteBagMulticamBlack,	*,		100,		65
		MSFCMulticamBlackMask,	*,		100,		65
		MSFCMich2001MulticamBlack,	*,		100,		65
		MSFCAssaultBagMulticamBlack,	*,		100,		65
		MSFCAssaultBagMulticamBlackMedic,	*,		100,		65
		MSFCHoodMulticamBlack,	*,		100,		65
		MSFCBandanaMulticamBlack,	*,		100,		65
		MSFCBandanaMulticamBlackMask,	*,		100,		65
		MSFCPlateCarrierVestMulticamBlack,	*,		100,		65
		MSFCPlateCarrierVestMulticamBlackLogo,	*,		100,		65
		MSFCTortilaMulticamBlack,	*,		100,		65
		MSFCAliceBagMulticamBlack,	*,		100,		65
		MSFCNBCPantsMulticamBlack,	*,		100,		65
		MSFCNBCJacketMulticamBlack,	*,		100,		65
		MSFCNBCGlovesMulticamBlack,	*,		100,		65
		MSFCNBCBootsMulticamBlack,	*,		100,		65
		MSFCPlateCarrierVestMulticamBlackMedic,	*,		100,		65
		MSFCMountainBagMulticamBlack,	*,		2500,		200
		MSFCPlateHolsterMulticamBlack,	*,		100,		65
		MSFCPlatePouchesMulticamBlack,	*,		100,		65
		MSFCPCU5MulticamBlackSupply,	*,		100,		65
		MSFCGorkaHelmetMulticamBlack,	*,		100,		65
		MSFCMich2000HelmetMulticamBlack,	*,		100,		65
		MSFCSweaterMulticamBlack,	*,		100,		65
		MSFCPressVestMulticamBlack,	*,		100,		65
		MSFCPCU5MulticamBlackPartComander,	*,		100,		65
		MSFCSmershVestMulticamBlack,	*,		100,		65
		MSFCSmershBagMulticamBlack,	*,		100,		65
		MSFCOpsCoreMulticamBlack,	*,		100,		65
		MSFCTacticalMaskMulticamBlack,	*,		100,		65
		MSFCSmershBagMedicMulticamBlack,	*,		100,		65	
		MSFCPCU5MulticamBlackNoPatch,	*,		100,		65	
        MSFCGorkaJMulticamBlackNoPatch,	*,		100,		65
        MSFCBootsLowaMulticamBlack,	*,		100,		65
        MSFCBootsTrekkingMulticamBlack,	*,		100,		65
